id,name,state_id,lat,lng
1,Port Blair,35,11.67,92.76
2,Adilabad,28,19.68,78.53
3,Adoni,28,15.63,77.28
4,Alwal,28,17.5,78.54
5,Anakapalle,28,17.69,83
6,Anantapur,28,14.7,77.59
7,Bapatla,28,15.91,80.47
8,Belampalli,28,19.06,79.49
9,Bhimavaram,28,16.55,81.53
10,Bhongir,28,17.52,78.88
11,Bobbili,28,18.57,83.37
12,Bodhan,28,18.66,77.88
13,Chilakalurupet,28,16.1,80.16
14,Chinna Chawk,28,14.47,78.83
15,Chirala,28,15.84,80.35
16,Chittur,28,13.22,79.1
17,Cuddapah,28,14.48,78.81
18,Dharmavaram,28,14.42,77.71
19,Dhone,28,15.42,77.88
20,Eluru,28,16.72,81.11
21,Gaddiannaram,28,17.36,78.52
22,Gadwal,28,16.23,77.8
23,Gajuwaka,28,17.7,83.21
24,Gudivada,28,16.44,81
25,Gudur,28,14.15,79.84
26,Guntakal,28,15.18,77.37
27,Guntur,28,16.31,80.44
28,Hindupur,28,13.83,77.48
29,Hyderabad,28,17.4,78.48
30,Jagtial,28,18.8,78.91
31,Kadiri,28,14.12,78.16
32,Kagaznagar,28,19.34,79.48
33,Kakinada,28,16.96,82.24
34,Kallur,28,15.69,77.77
35,Kamareddi,28,18.32,78.35
36,Kapra,28,17.37,78.48
37,Karimnagar,28,18.45,79.13
38,Karnul,28,15.83,78.03
39,Kavali,28,14.92,79.99
40,Khammam,28,17.25,80.15
41,Kodar,28,16.98,79.97
42,Kondukur,28,15.22,79.91
43,Koratla,28,18.82,78.72
44,Kottagudem,28,17.56,80.64
45,Kukatpalle,28,17.49,78.41
46,Lalbahadur Nagar,28,17.43,78.5
47,Machilipatnam,28,16.19,81.14
48,Mahbubnagar,28,16.74,77.98
49,Malkajgiri,28,17.55,78.59
50,Mancheral,28,18.88,79.45
51,Mandamarri,28,18.97,79.47
52,Mangalagiri,28,16.44,80.56
53,Markapur,28,15.73,79.28
54,Miryalaguda,28,16.87,79.57
55,Nalgonda,28,17.06,79.26
56,Nandyal,28,15.49,78.48
57,Narasapur,28,16.45,81.7
58,Narasaraopet,28,16.24,80.04
59,Nellur,28,14.46,79.98
60,Nirmal,28,19.12,78.35
61,Nizamabad,28,18.68,78.1
62,Nuzvid,28,16.78,80.85
63,Ongole,28,15.5,80.05
64,Palakollu,28,16.52,81.75
65,Palasa,28,18.77,84.42
66,Palwancha,28,17.6,80.68
67,Patancheru,28,17.53,78.27
68,Piduguralla,28,16.48,79.9
69,Ponnur,28,16.07,80.56
70,Proddatur,28,14.73,78.55
71,Qutubullapur,28,17.43,78.47
72,Rajamahendri,28,17.02,81.79
73,Rajampet,28,14.18,79.17
74,Rajendranagar,28,17.29,78.39
75,Ramachandrapuram,28,17.56,78.04
76,Ramagundam,28,18.8,79.45
77,Rayachoti,28,14.05,78.75
78,Rayadrug,28,14.7,76.87
79,Samalkot,28,17.06,82.18
80,Sangareddi,28,17.63,78.08
81,Sattenapalle,28,16.4,80.18
