id,name,type_id,harmonic_id,discount,mrp,unit,gst,description
1,Ajwain for Biscuits,1,1,50,600,Ltr,18,
2,Almond Sweet,1,1,50,525,Ltr,18,
3,American Icecream Excellent,1,1,50,525,Ltr,18,
4,American Icecream Soda,1,1,50,500,Ltr,18,
5,American Icecream Spl.,1,1,50,600,Ltr,18,
6,Aniseed Natural,1,1,50,525,Ltr,18,
7,Apple Conc. ,1,1,50,1050,Ltr,18,
8,Green Apple,1,1,50,1275,Ltr,18,
9,Banana Ripe,1,1,50,825,Ltr,18,
10,Banana Std.,1,1,50,500,Ltr,18,
11,Basmati Classic,1,1,50,1125,Ltr,18,
12,Basmati Conc.,1,1,50,1575,Ltr,18,
13,Biryani,1,1,50,1550,Ltr,18,
14,Biscuit Excellent,1,1,50,525,Ltr,18,
15,Blackcurrant Std.,1,1,50,525,Ltr,18,
16,Blackcurrant 36,1,1,50,900,Ltr,18,
17,Brandy 471,1,1,50,550,Ltr,18,
18,Bubble Gum,1,1,50,1125,Ltr,18,
19,Butter Caramel,1,1,50,900,Ltr,18,
20,Butter Conc.,1,1,50,175,Ltr,18,
21,Butter DSR,1,1,50,700,Ltr,18,
22,Butterscotch Spl.,1,1,50,575,Ltr,18,
23,Butterscotch Super,1,1,50,500,Ltr,18,
24,Butter Toffee,1,1,50,675,Ltr,18,
25,Butterscotch 933,1,1,50,1050,Ltr,18,
26,Capsicum Popular,1,1,50,650,Ltr,18,
27,Capsicum Std.,1,1,50,575,Ltr,18,
28,Caramel,1,1,50,625,Ltr,18,
29,Cardamom Conc.,1,1,50,750,Ltr,18,
30,Cardamom DX,1,1,50,2250,Ltr,18,
31,Cardamom GPC,1,1,50,450,Ltr,18,
32,Cardamom No. 1,1,1,50,1150,Ltr,18,
33,Cardamom Spl.,1,1,50,650,Ltr,18,
34,Cardamom Super,1,1,50,1200,Ltr,18,
35,Cashew Nut DK,1,1,50,550,Ltr,18,
36,Cheese 1208,1,1,50,1350,Ltr,18,
37,Cheese Spl.,1,1,50,600,Ltr,18,
38,Cheese Std.,1,1,50,550,Ltr,18,
39,Cherry Std.,1,1,50,575,Ltr,18,
40,Choco Max,1,1,50,1125,Ltr,18,
41,Choco Milk,1,1,50,900,Ltr,18,
42,Chocolate Bourbon NN,1,1,50,875,Ltr,18,
43,Chocolate Bourbon,1,1,50,725,Ltr,18,
44,Chocolate Spl.,1,1,50,575,Ltr,18,
45,Chocolate Supreme,1,1,50,450,Ltr,18,
46,Chutney Classic,1,1,50,525,Ltr,18,
47,Chutney Spl.,1,1,50,650,Ltr,18,
48,Clove Conc.,1,1,50,850,Ltr,18,
49,Clove Std. ,1,1,50,500,Ltr,18,
50,Coconut Sweet,1,1,50,475,Ltr,18,
51,Coconut 023 Spl.,1,1,50,600,Ltr,18,
52,Coconut Conc.,1,1,50,525,Ltr,18,
53,Coconut Cookies,1,1,50,450,Ltr,18,
54,Coconut Excellent,1,1,50,375,Ltr,18,
55,Coconut No. 1,1,1,50,750,Ltr,18,
56,Coconut Toasted,1,1,50,875,Ltr,18,
57,Khopra Classic (Coconut),1,1,50,675,Ltr,18,
58,Coffee Beer Excellent,1,1,50,575,Ltr,18,
59,Coffee Coorg,1,1,50,675,Ltr,18,
